title,model_family,generation_number,is_pro,storage_gb_numeric,condition,price,wasPrice,price_discount_pct,available,sold,was_lot
Apple iPhone 15 A2846 Unlocked 128GB Black Good,iPhone 15,15.0,False,128.0,Good - Refurbished,357.38,,,0.0,110.0,False
Apple iPhone 13 - 128GB | 256GB - (Unlocked) AT&T Verizon T-Mobile Metro Cricket,iPhone 13,13.0,False,128.0,Open Box,256.45,269.95,5.0,7.0,52.0,False
Apple iPhone 13 - 128GB | 256GB - (Unlocked) AT&T Verizon T-Mobile Cricket Metro,iPhone 13,13.0,False,128.0,Very Good - Refurbished,275.45,289.95,5.0,10.0,89.0,False
Apple iPhone 14 | 14 Plus 128GB | 256GB | 512GB - Unlocked AT&T Verizon T-Mobile,iPhone 14,14.0,False,128.0,Open Box,289.7,304.95,5.0,0.0,25.0,False
Apple iPhone 14 | 14 Plus - 128GB | 256GB | 512GB Unlocked AT&T Metro T-mobile,iPhone 14,14.0,False,128.0,Very Good - Refurbished,270.7,284.95,5.0,0.0,33.0,False
Apple iPhone 16 A3081 Unlocked 256GB Black Good,iPhone 16,16.0,False,256.0,Good - Refurbished,570.01,,,2.0,2.0,False
Apple iPhone 12 | 12 mini - 64GB 128GB 256GB - Unlocked T-Mobile AT&T Verizon,iPhone 12,12.0,False,64.0,Very Good - Refurbished,156.7,164.95,5.0,10.0,62.0,False
Apple iPhone 12 64GB / 128GB / 256GB –Unlocked - VERY GOOD CONDITION #3,iPhone 12,12.0,False,64.0,Used,195.99,,,0.0,3.0,False
Apple iPhone 17 Pro Max A3526 Unlocked New Sealed Physical SIM Card Tray -FedEX,iPhone 17 Pro Max,17.0,True,128.0,New,2124.2,,,0.0,29.0,False
Apple iPhone 13 mini 512 GB All colors Unlocked AT&T T-Mobile Verizon Good,iPhone 13 Mini,13.0,False,512.0,Good - Refurbished,357.77,,,0.0,1.0,False
Apple iPhone 14 Plus 128 GB unlocked all colors fully working with cosmetic wear,iPhone 14 Plus,14.0,False,128.0,Used,249.99,,,2.0,3.0,False
Apple iPhone 14 Plus - 512 GB - All colors (Unlocked) used tested cosmetic wear,iPhone 14 Plus,14.0,False,512.0,Used,309.99,,,2.0,1.0,False
Apple IPhone 17 Pro Max Orange 1TB,iPhone 17 Pro Max,17.0,True,1024.0,New,1050.0,,,0.0,2.0,False
Apple iPhone 12 128GB Unlocked Smartphone,iPhone 12,12.0,False,128.0,Used,189.99,,,10.0,66.0,False
Apple iPhone 15 Plus A2847 Unlocked 128GB Black Good,iPhone 15 Plus,15.0,False,128.0,Good - Refurbished,369.99,,,0.0,170.0,False
95%Ne w Apple iPhone 12 - 64 GB/128GB/256GB 4GB RAM-Multicolor Factory Unlocked,iPhone 12,12.0,False,64.0,Used,244.21,,,5.0,2.0,False
Full working Apple iPhone 14 Plus-128 GB -(Unlocked) With Face ID 4323mAh 90%+BH,iPhone 14 Plus,14.0,False,128.0,Used,488.64,,,4.0,1.0,False
Good Apple iPhone 13 mini-128GB/256GB - all colors (Unlocked) IOS Worth buying,iPhone 13 Mini,13.0,False,128.0,Used,303.77,,,5.0,6.0,False
"Excellent condition Apple iPhone 14 - 128GB/256GB-6.1"" Multicolor (Unlocked)",iPhone 14,14.0,False,128.0,Used,426.65,,,3.0,11.0,False
Apple iPhone 12 Pro Max - 128/256/512GB- Unlocked IOS GOOD CONDITION SMARTOHONE,iPhone 12 Pro Max,12.0,True,512.0,Used,334.27,,,2.0,11.0,False
Good Condition Apple iPhone 14 Pro Max - 128GB /256GB/1TB- (Unlocked),iPhone 14 Pro Max,14.0,True,128.0,Used,578.47,,,4.0,13.0,False
Apple iPhone 12ProMax/13ProMax/14ProMax-128GB/256GB-NO FACE ID(Unlocked) SO GOOD,iPhone 12Pro Max,12.0,True,128.0,Used,328.07,,,9.0,6.0,False
EXCELLENT Apple iPhone 12 Pro Max - 128/256/512GB- Unlocked IOS SMARTOHONE,iPhone 12 Pro Max,12.0,True,512.0,Used,312.39,,,10.0,62.0,False
Good Apple iPhone 13 -128GB/256GB -Multicolor Unlocked IOS Smartphone,iPhone 13,13.0,False,128.0,Used,318.35,,,5.0,6.0,False
